LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2055;710972.7
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2056;722126.6
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2057;733751.1
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2058;745793.4
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2059;758174
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2060;770808.1
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2016;257699.9618
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2017;263472.799
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2018;267852.1379
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2019;273072.2021
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2020;276756.8
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2021;280674.9
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2022;285198.8
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2023;290249.2
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2024;295664.3
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2025;301344.4
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2026;307213.8
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2027;313193.5
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2028;319268.9
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2029;325441
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2030;331720.7
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2031;338121.7
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2032;344661.8
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2033;351363.5
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2034;358248.2
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2035;365325.7
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2036;372598.3
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2037;380070.1
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2038;387747.7
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2039;395643.5
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2040;403775.4
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2041;412166
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2042;420839
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2043;429807.2
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2044;439067.5
