Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),Primary energy (PJ),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year)
1938,4256.84,Japan,JPN,71968296,Japan,JPN,303.15310350000004,355.79098171054557,1091.3511726000002,235112435406.57898,661.7278022574927,20859138.622394804
1939,4803.78,Japan,JPN,72532296,Japan,JPN,323.3419243,369.62777553343517,1164.0309274800002,241745909591.79517,873.3885150545608,21212740.35281757
1940,4882.4,Japan,JPN,73242224,Japan,JPN,361.9611994,384.58435013444495,1303.06031784,248764565673.24115,924.1830622697138,21566342.08324025
1941,4986.24,Japan,JPN,74132144,Japan,JPN,330.87352519999996,400.8023698328152,1191.14469072,256202955999.0317,993.3931674431786,21919943.813663017
1942,4938.54,Japan,JPN,75146608,Japan,JPN,305.9581446,418.44844709890805,1101.4493205600002,264099892941.73312,1002.0561329852384,22273545.5440857
1943,4825.65,Japan,JPN,76206160,Japan,JPN,289.5089662,437.719887429222,1042.23227832,272499126311.35175,982.3081856543029,22627147.274508383
1944,4816.11,Japan,JPN,76605200,Japan,JPN,144.0993489,458.8520983255127,518.75765604,281450154277.9445,989.2841021438139,22980749.004931144
1945,3677.67,Japan,JPN,77003912,Japan,JPN,65.86611053,482.1282532821842,237.117997908,291009199545.0751,560.3670097946949,23334350.735353827
1946,2771.37,Japan,JPN,77318136,Japan,JPN,57.10340673,507.8920542983545,205.57226422800002,301240391442.90265,321.69301061789406,23687952.465776592
1947,2710.95,Japan,JPN,78630808,Japan,JPN,93.03835404,536.5648173929906,334.938074544,312217206465.0434,318.58927096129906,24041554.196199276
1948,2857.23,Japan,JPN,80224304,Japan,JPN,114.9905149,568.6686917077783,413.96585364,324024235663.66504,365.6185957702368,24395155.92662204
1949,2866.77,Japan,JPN,81586880,Japan,JPN,134.7913486,604.8587445866812,485.24885495999996,336759368828.44147,380.22264250296126,24748757.657044724
1950,3062.0,Japan,JPN,82802000,Japan,JPN,153.6958066,645.968130681498,553.30490376,350536514806.53296,446.272344586993,25102359.387467485
1951,3389.0,Japan,JPN,84316000,Japan,JPN,184.358013,693.0730238208416,663.6888468,365489018051.20435,571.0057555689431,25455961.117890168
