Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1854,2627.0,France,FRA,36755612,France,FRA,234.30519959999998,669.5610883323809,98070134748.8772,908.731291259407,8.533821406880495e-09,843.4987185599999
1855,2577.0,France,FRA,36875048,France,FRA,242.42267030000002,675.0196538163895,98832471483.25131,894.7281778741101,8.553326501082093e-09,872.7216130800001
1856,2687.0,France,FRA,36989680,France,FRA,242.42267030000002,680.5679522440868,99606752939.59912,934.6170005286175,8.572831595283685e-09,872.7216130800001
1857,2836.0,France,FRA,37105320,France,FRA,242.42267030000002,686.2082146227286,100393262069.60638,987.7256625434496,8.592336689485284e-09,872.7216130800001
1858,3029.0,France,FRA,37219540,France,FRA,242.42267030000002,691.9427465362481,101192290832.99518,1055.564365825358,8.61184178368688e-09,872.7216130800001
1859,2828.0,France,FRA,37354248,France,FRA,248.82863730000003,697.7739312876447,102004140558.87404,991.417240008878,8.631346877888472e-09,895.7830942800001
1860,3016.0,France,FRA,37461340,France,FRA,256.96952039999996,703.70423320161,102829122324.62321,1057.7737263254894,8.65085197209007e-09,925.0902734399999
1861,2820.0,France,FRA,37528424,France,FRA,265.1104035,709.7362010970129,103667557353.31581,993.1607817394466,8.670357066291668e-09,954.3974526000001
1862,3051.0,France,FRA,37586888,France,FRA,270.1938328,715.8724719395173,104519777430.74132,1073.0115210469917,8.689862160493261e-09,972.69779808
1863,3145.0,France,FRA,37649072,France,FRA,273.64743599999997,722.1157746853332,105386125343.16907,1106.460546064432,8.709367254694858e-09,985.1307695999999
1864,3169.0,France,FRA,37712548,France,FRA,278.503392,728.4689343278725,106266955337.06496,1116.347567826087,8.728872348896455e-09,1002.6122112
1865,3067.0,France,FRA,37778268,France,FRA,289.3579915,734.934876159912,107162633602.05664,1083.684845195143,8.748377443098048e-09,1041.6887694000002
1866,3083.0,France,FRA,37846184,France,FRA,295.0347138,741.5166302647813,108073538778.53067,1090.987352898265,8.767882537299645e-09,1062.12496968
1867,2890.0,France,FRA,37919724,France,FRA,297.56751569999994,748.2173362510531,109000062491.33954,1027.1598840602317,8.787387631501242e-09,1071.2430565199998
1868,3159.0,France,FRA,37999324,France,FRA,300.10031769999995,755.0402482462886,109942609911.19934,1121.0764336834573,8.806892725702836e-09,1080.3611437199997
1869,3198.0,France,FRA,38083024,France,FRA,298.625333,761.9887401665185,110901600345.46857,1136.7056907499812,8.826397819904432e-09,1075.0511988
1870,2990.0,France,FRA,38170352,France,FRA,285.9615893,769.0663112793934,111877467860.11801,1068.0832846919648,8.84590291410603e-09,1029.46172148
1871,3027.0,France,FRA,38261788,France,FRA,298.06476430000004,776.276592080272,112870661934.82988,1083.2583128166887,8.865408008307623e-09,1073.0331514800002
1872,3312.0,France,FRA,38355896,France,FRA,312.3115093,783.6233505019812,113881648153.30327,1183.4023911155941,8.88491310250922e-09,1124.32143348
1873,3064.0,France,FRA,38432200,France,FRA,321.0116309,791.1104984805637,114910908930.9938,1100.637683460208,8.904418196710818e-09,1155.64187124
