Year,GDP per capita,Entity,Code,Population,Primary energy (PJ),Primary energy (TWh),Energy(PJ)-Time(Year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),GDP(2011$)-Time(year)
1945,11370.0,Canada,CAN,12393716,2157.23,694.6338096,2027.2793763014238,2203.756143766891,172064999.2234698,111607298026.33145
1946,11048.0,Canada,CAN,12604009,2219.157,714.5744686,2081.043355916106,2182.6309560572827,170004901.1610467,115928696780.31705
1947,11298.0,Canada,CAN,12861810,2306.126,742.5787184,2137.736692462952,2259.4880370049955,167944803.09862295,120598221193.26819
1948,11261.0,Canada,CAN,13139212,2411.656,776.5596597,2197.6055020041526,2293.080648410844,165884705.03619987,125659703550.52527
1949,11260.0,Canada,CAN,13416945,2387.504,768.7826512999999,2260.924265592326,2332.6086540579686,163824606.9737761,131164657030.66368
1950,11622.0,Canada,CAN,13733000,2588.1479999999997,833.3905541,2328.0000368497786,2440.984778863182,161764508.91135302,137174035226.44145
1951,12007.0,Canada,CAN,14078000,2686.3520000000003,865.0125037999999,2399.1774214149873,2560.9284451892845,159704410.84892926,143760498570.14224
1952,12486.0,Canada,CAN,14445000,2673.966,861.0241787999998,2474.844498662441,2705.1165176417426,157644312.7865062,151011366630.9607
1953,12726.0,Canada,CAN,14835000,2711.664,873.1630353,2555.43990049734,2812.480879871588,155584214.72408313,159032511300.67822
1954,12272.0,Canada,CAN,15245000,2782.99,896.1301973999999,2641.4613198719644,2790.7831212875794,153524116.66165936,167953560326.51288
1955,13072.0,Canada,CAN,15674000,2991.994,963.4300424,2733.4757976510605,3017.502963336669,151464018.59923628,177934956304.07642
1956,13791.0,Canada,CAN,16115000,3053.008,983.076713,2832.1322371146834,3238.1846093648574,149403920.5368125,189177691784.9824
1957,13719.0,Canada,CAN,16561000,3014.532,970.6873385,2938.176729969819,3301.1570856067615,147343822.47438943,201936983953.0503
1958,13603.0,Canada,CAN,17005000,3032.5009999999997,976.4734043999999,3052.4714594423067,3353.425602680388,145283802.2089388,216541883347.8432
1959,13829.0,Canada,CAN,17436000,3151.9320000000002,1014.930505,3176.0181939085505,3477.6726573523188,144153951.2627383,233424055072.5203
