Year,Real GDP per capita ,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1893,4212.0801,United Kingdom,GBR,35295484,United Kingdom,GBR,1309.564006,4.740745361353921,152799180048.07693,15389.299066210755,1.0940233113385603e-07,4714.4304216
1894,4373.3398,United Kingdom,GBR,35670120,United Kingdom,GBR,1334.303605,4.837334550860068,154338853212.8524,15905.183030968043,1.0857091938730575e-07,4803.492978
1895,4465.9199,United Kingdom,GBR,36051800,United Kingdom,GBR,1359.0432050000002,4.9358916738488565,155909871097.74722,16243.01847066652,1.0773950764075545e-07,4892.5555380000005
1896,4602.2998,United Kingdom,GBR,36439320,United Kingdom,GBR,1383.782805,5.036456825513329,157513200721.4235,16677.789525397577,1.0690809589420516e-07,4981.618098
1897,4601.2598,United Kingdom,GBR,36828636,United Kingdom,GBR,1454.4375810000001,5.139070917956399,159149849293.9609,16788.440775260424,1.0607668414765512e-07,5235.975291600001
1898,4791.23,United Kingdom,GBR,37218008,United Kingdom,GBR,1486.599674,5.2437756968349,160820866326.83517,17328.932101358077,1.0524527240110485e-07,5351.7588264000005
1899,4921.6099,United Kingdom,GBR,37607120,United Kingdom,GBR,1483.103128,5.350613758342734,162527345877.2309,17721.79428260865,1.0441386065455455e-07,5339.1712608
1900,4870.75,United Kingdom,GBR,37995760,United Kingdom,GBR,1503.8585050000002,5.459628566539723,164270428936.7739,17720.672927049447,1.0358244890800428e-07,5413.890618
1901,4930.29,United Kingdom,GBR,38384248,United Kingdom,GBR,1534.434884,5.570864471033838,166051305975.64325,17955.164672104445,1.0275103716145424e-07,5523.9655824
1902,4958.0801,United Kingdom,GBR,38777696,United Kingdom,GBR,1549.2798710000002,5.68436672502372,167871219653.98297,18120.88374513834,1.0191962541490395e-07,5577.407535600001
1903,4859.2402,United Kingdom,GBR,39162544,United Kingdom,GBR,1576.7829689999999,5.8001815037084254,169731467713.59143,18013.433153167654,1.0108821366835367e-07,5676.4186884
1904,4876.4902,United Kingdom,GBR,39545832,United Kingdom,GBR,1624.201047,5.918355923072628,171633406064.0288,18152.500618176553,1.0025680192180337e-07,5847.1237692
1905,4990.8398,United Kingdom,GBR,39927928,United Kingdom,GBR,1671.616057,6.038938059054559,173578452078.56543,18494.639524165545,9.942539017525334e-08,6017.8178052
1906,5064.96,United Kingdom,GBR,40309912,United Kingdom,GBR,1662.810281,6.0065380590545585,175568088116.8086,18746.6387296844,9.859397842870306e-08,5986.1170116
1907,5115.8198,United Kingdom,GBR,40686072,United Kingdom,GBR,1666.567535,5.974138059054559,177603865292.40594,18946.16468673278,9.776256668215277e-08,5999.643126
1908,4888.0298,United Kingdom,GBR,41076864,United Kingdom,GBR,1677.563254,5.9417380590545585,179687407505.95157,18573.202468729272,9.693115493560248e-08,6039.2277144
1909,4955.3501,United Kingdom,GBR,41462504,United Kingdom,GBR,1710.0780690000001,5.9093380590545594,181820415765.132,18812.04912950369,9.609974318905245e-08,6156.281048400001
1910,5067.0698,United Kingdom,GBR,41804912,United Kingdom,GBR,1666.334432,5.876938059054559,184004672816.26614,19127.258437121145,9.526833144250216e-08,5998.803955200001
1911,5179.96,United Kingdom,GBR,42161532,United Kingdom,GBR,1616.8552320000001,5.8445380590545595,186242048113.7443,19440.92532629337,9.443691969595187e-08,5820.6788352
1912,5245.1699,United Kingdom,GBR,42416768,United Kingdom,GBR,1576.38424,5.8121380590545595,188534503156.48022,19630.65597660367,9.360550794940159e-08,5674.983264
1913,5441.6499,United Kingdom,GBR,42689944,United Kingdom,GBR,1608.018784,5.7797380590545595,190884097223.39368,20070.134318925553,9.277409620285155e-08,5788.8676224
1914,5485.5601,United Kingdom,GBR,43017768,United Kingdom,GBR,1652.694834,5.7473380590545595,193292993543.17252,20228.90012680218,9.194268445630126e-08,5949.7014024
1915,5722.2202,United Kingdom,GBR,43325208,United Kingdom,GBR,1672.4871269999999,5.714938059054559,195763465937.16824,20725.573124947474,9.111127270975098e-08,6020.9536572
1916,5782.3599,United Kingdom,GBR,43529628,United Kingdom,GBR,1564.729085,5.6825380590545596,198297905978.30273,20877.272654283206,9.027986096320069e-08,5633.024706
1917,5746.9302,United Kingdom,GBR,43608876,United Kingdom,GBR,1536.492939,5.650138059054559,200898830713.36267,20834.020022828998,8.944844921665067e-08,5531.3745804
