Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1893,3064.0,Italy,ITA,32270864,Italy,ITA,169.7356608,606.3185570076364,94580126770.18364,620.2077690947044,215258712.7760762,611.0483788800001
1894,3081.0,Italy,ITA,32474464,Italy,ITA,176.1088322,612.0852242251044,95715668238.15639,622.7236752379873,214489259.01648167,633.99179592
1895,3107.0,Italy,ITA,32674428,Italy,ITA,173.1822908,617.962637745639,96878807975.65573,625.8890630357968,213719805.25688714,623.45624688
1896,3153.0,Italy,ITA,32871752,Italy,ITA,170.2557493,623.9540187508592,98070564484.60272,630.537417208015,212950351.49729258,612.92069748
1897,3158.0,Italy,ITA,33078068,Italy,ITA,168.6681409,630.0627145676962,99292007007.58917,632.3404505849695,212180897.73769772,607.20530724
1898,3145.0,Italy,ITA,33290830,Italy,ITA,171.766798,636.292204904448,100544258727.53563,632.870816146452,211411443.9781032,618.3604728
1899,3180.0,Italy,ITA,33509676,Italy,ITA,174.865455,642.646108460465,101828500212.56274,637.0288237526369,210641990.21850863,629.515638
1900,3264.0,Italy,ITA,33736336,Italy,ITA,176.1738792,649.1281899358522,103145973128.28438,645.1191598991426,209872536.4589141,634.22596512
1901,3317.0,Italy,ITA,33972984,Italy,ITA,176.1738792,655.7423674697125,104497984242.05931,651.0975621400233,209103082.69931924,634.22596512
1902,3371.0,Italy,ITA,34199036,Italy,ITA,176.4493218,662.4927205378181,105885909746.34613,657.235277546497,208333628.9397247,635.2175584800001
1903,3402.0,Italy,ITA,34455128,Italy,ITA,179.54769109999998,669.3834983431557,107311199931.22826,661.8690030964855,207564175.18013015,646.3716879599999
1904,3461.0,Italy,ITA,34722656,Italy,ITA,182.64634809999998,676.4191287356124,108775384239.45848,669.0809605083251,206794721.42053562,657.52685316
1905,3532.0,Italy,ITA,35004504,Italy,ITA,188.49943100000002,683.6042277001427,110280076741.06288,677.6913335097665,206025267.66094077,678.5979516000001
1906,3652.0,Italy,ITA,35303448,Italy,ITA,197.7954021,690.9436094561435,111826982068.70027,691.2243764139741,205255813.90134624,712.06344756
1907,3716.0,Italy,ITA,35583196,Italy,ITA,207.0910855,698.4422972144699,113417901859.6623,699.8851342287785,204486360.14175168,745.5279078
1908,3795.0,Italy,ITA,35894880,Italy,ITA,215.271471,706.105534642599,115054741755.6966,710.6024206552102,203716906.38215715,774.9772955999999
1909,3826.0,Italy,ITA,36218348,Italy,ITA,221.70134269999997,713.9387980929356,116739519017.8318,717.0284671482825,202947452.6225626,798.1248337199999
1910,3829.0,Italy,ITA,36529016,Italy,ITA,223.58252630000004,721.947809654185,118474370820.18033,720.6158229202521,202177998.86296773,804.8970946800001
1911,3870.0,Italy,ITA,36857936,Italy,ITA,225.8787446,730.1385510911587,120261563294.41609,728.3623570066359,201408545.1033732,813.16348056
1912,3875.0,Italy,ITA,37082776,Italy,ITA,233.9828581,738.5172787443806,122103501405.40887,731.3460677053131,200639091.34377867,842.3382891599999
1913,4057.0,Italy,ITA,37285296,Italy,ITA,241.33662809999998,747.0905394674886,124002739748.5122,753.272139936109,199869637.5841841,868.8118611599999
1914,3835.0,Italy,ITA,37562096,Italy,ITA,233.5327096,755.8651876877519,125961994370.43996,732.3532360197263,199100183.82458925,840.71775456
1915,3642.0,Italy,ITA,37859548,Italy,ITA,233.5327096,764.8484036831428,127984155728.75862,715.1411947878568,198330730.06499472,840.71775456
1916,3942.0,Italy,ITA,38010752,Italy,ITA,230.2550292,774.047713178386,130072302920.03668,749.0654584518754,197561276.30540016,828.91810512
1917,3955.0,Italy,ITA,37856484,Italy,ITA,210.7060894,783.4710083723885,132229719323.94664,748.7252293143124,196791822.54580563,758.54192184
1918,3856.0,Italy,ITA,37559464,Italy,ITA,223.08747799999998,793.1265705205316,134459909830.49042,734.570194231759,196022368.78621078,803.1149207999999
1919,3701.0,Italy,ITA,37365256,Italy,ITA,212.95740800000002,803.0230942076347,136766619840.46199,716.2511672262874,195252915.02661625,766.6466688
1920,3789.0,Italy,ITA,37422220,Italy,ITA,207.7798358,813.1697134611309,139153856255.80746,725.9799110330509,194483461.2670217,748.0074088800001
1921,3660.0,Italy,ITA,37700704,Italy,ITA,222.4119673,823.5760298692975,141625910707.3352,715.4157487294921,193714007.50742716,800.68308228
1922,3928.0,Italy,ITA,38054480,Italy,ITA,237.0443866,834.2521428864885,144187385303.0321,748.0090614628996,192944553.7478323,853.35979176
1923,4248.0,Italy,ITA,38427240,Italy,ITA,251.67680589999998,845.2086825264236,146843221221.9811,789.838377535227,192175099.98823777,906.0365012399999
1924,4324.0,Italy,ITA,38786672,Italy,ITA,266.3092252,856.4568446660003,149598730527.66364,804.1019134823815,191405646.2286432,958.7132107200001
1925,4580.0,Italy,ITA,39133784,Italy,ITA,267.7724959,868.0084292060993,152459631631.61575,842.3185911949831,190636192.46904868,963.9809852400001
1926,4576.0,Italy,ITA,39479560,Italy,ITA,289.7209809,879.8758813628045,155432088905.62625,847.1988047352944,189866738.70945382,1042.99553124
1927,4454.0,Italy,ITA,39819672,Italy,ITA,303.51728660000003,892.0723363927914,158522757019.915,835.9478213404024,189097284.94985926,1092.6622317600002
1928,4693.0,Italy,ITA,40141800,Italy,ITA,288.745563,904.6116680907827,161738830678.44855,874.2227660439166,188327831.19026473,1039.4840268
1929,4889.0,Italy,ITA,40455932,Italy,ITA,299.48609669999996,917.5085414355182,165088100533.73618,908.4176429368837,187558377.4306702,1078.1499481199999
1930,4631.0,Italy,ITA,40771060,Italy,ITA,278.69291630000004,930.7784698042371,168579016195.79593,875.7383907770391,186788923.67107534,1003.2944986800002
1931,4538.0,Italy,ITA,41091520,Italy,ITA,257.899448,944.4378772249812,172220757408.05685,867.4449876942975,186019469.91148078,928.4380128
1932,4602.0,Italy,ITA,41411984,Italy,ITA,246.03958709999998,958.5041661919469,176023314652.4536,882.0672651525068,185250016.15188625,885.7425135599999
1933,4514.0,Italy,ITA,41732108,Italy,ITA,265.44663230000003,972.9957916326382,179997580673.96432,874.198800138534,184480562.3922917,955.6078762800001
1934,4466.0,Italy,ITA,42064560,Italy,ITA,284.8536774,987.9323416878822,184155454690.2349,872.3554391904627,183711108.63269684,1025.4732386399999
1935,4670.0,Italy,ITA,42396680,Italy,ITA,287.0454175,1003.3346260482105,188509961385.93585,909.1732683176633,182941654.8731023,1033.363503
1936,4471.0,Italy,ITA,42721472,Italy,ITA,257.9478016,1019.2247726843192,193075387198.29776,883.6140175343314,182172201.11350778,928.61208576
1937,4879.0,Italy,ITA,43051260,Italy,ITA,299.2659153,1035.6263339171603,197867436897.94382,955.1380870123309,181402747.35391322,1077.35729508
1938,4981.0,Italy,ITA,43422688,Italy,ITA,301.29187169999994,1052.564402896936,202903414080.80695,979.8536665203394,180633293.5943187,1084.65073812
1939,5246.0,Italy,ITA,43846744,Italy,ITA,304.4368676,1070.065741702503,208202429942.3565,1036.4123576361283,179863839.83472383,1095.9727233600001
1940,5099.0,Italy,ITA,44284796,Italy,ITA,323.25014260000006,1088.1589224365734,213785645643.12018,1018.7471993716825,179094386.0751293,1163.7005133600003
1941,4967.0,Italy,ITA,44664220,Italy,ITA,312.6310685,1106.874482881336,219676554744.80765,1002.3896421209599,178324932.31553474,1125.4718466000002
1942,4661.0,Italy,ITA,44942704,Italy,ITA,310.25944169999997,1126.2450984981822,225901313665.1261,952.9152769595265,177555478.5559402,1116.9339901199999
1943,3931.0,Italy,ITA,45127920,Italy,ITA,226.45582119999997,1146.3057728093838,232489129953.6566,836.0865656976753,176786024.79634535,815.2409563199999
1944,3162.0,Italy,ITA,45273824,Italy,ITA,170.9062198,1167.0940484952223,239472720546.73795,729.8176207989061,176016571.0367508,615.26239128
1945,2831.0,Italy,ITA,45456376,Italy,ITA,169.5554862,1188.6502418848631,246888855171.4211,690.5979638513874,175247117.27715626,610.39975032
1946,3805.0,Italy,ITA,45706216,Italy,ITA,232.3621506,1211.0177039224684,254779003947.0312,824.3984816412577,174477663.51756173,836.50374216
