En/CapIndia,gdp/CapIndia,"Model,India",En/CapBrazil,gdp/CapBrazil,"Model,Brazil",En/CapIndonesia,gdp/CapIndonesia,"Model,Indonesia",En/CapMexico,gdp/CapMexico,"Model,Mexico",En/CapChina,gdp/CapChina,"Model,China"
7.567736876617956e-06,1.755,7.4885547136644846,3.617722733071573e-05,8.281,36.88773361924592,9.618508795894854e-06,3.269,8.653059227765144,5.087644943878143e-05,9.283,47.676077887880645,2.1288454083130204e-05,2.748,21.070127677665127
7.87811239730749e-06,1.793,7.6854739570494255,3.652257899667831e-05,8.402,37.52251810201109,9.972202700141398e-06,3.37,9.151372492948923,5.150818181818182e-05,9.256,47.503558984878026,2.25243443798102e-05,2.931,22.415066822659096
8.391650636779637e-06,1.938,8.42437762685133,3.719513743838249e-05,8.23,36.61658739923601,1.0327615215801025e-05,3.5,9.798868256954206,5.085585413855847e-05,9.193,47.09784024792193,2.3734117976335407e-05,3.045,23.262804529920313
8.972560476703807e-06,2.024,8.853379973750647,3.7243619813022795e-05,8.333,37.1620013835517,1.121828240855546e-05,3.747,11.035362891910982,5.266478893758574e-05,9.392,48.36412070656338,2.446085394717417e-05,3.022,23.0911570936073
9.431553124085515e-06,2.087,9.163339220995715,3.597182682379137e-05,7.842,34.484028062946166,1.213932682395757e-05,4.007,12.325165243333435,5.43719523962689e-05,9.699,50.22724430010893,2.4387375799480685e-05,2.982,22.793377435915446
9.745421847301418e-06,2.06231,9.042296549685297,3.6701516670183586e-05,7.88805,34.743541237273966,1.2940864176128977e-05,4.310779999999999,13.790199308829441,5.544681159589771e-05,10.00855,51.98931662882791,2.5276982164723716e-05,3.05132,23.310024497136617
1.0045759594541693e-05,2.11526,9.30120348362286,3.776607716808344e-05,7.81279,34.318532135147535,1.396563758389262e-05,4.53641,14.836358859273611,5.5394770025839795e-05,10.26221,53.34239661625232,2.6313533685744682e-05,3.22774,24.63758096579161
1.0095273771680131e-05,2.17643,9.597142421314846,3.88026720630758e-05,8.16624,36.27459994198875,1.4515553410123985e-05,4.83713,16.16412251681434,5.470306121297603e-05,10.35783,53.83070297172627,2.805166003326189e-05,3.50648,26.772119813190994
1.0427886750288377e-05,2.2549,9.971860023961225,4.011701668372378e-05,8.61569,38.61445591705909,1.5272594574899348e-05,5.140029999999999,17.418364503834514,5.6870065220284844e-05,10.72101,55.57480095899259,2.9505454662667724e-05,3.7301599999999997,28.517588502962344
1.0999640336419899e-05,2.35596,10.446396864479546,4.144970497469449e-05,8.951690000000001,40.25755990071209,1.602085368702205e-05,5.4948999999999995,18.77926532652012,5.505156933550069e-05,9.94495,51.63710054207553,3.01449230094397e-05,3.99973,30.65915261462701
1.1231088332594003e-05,2.4755700000000003,10.9964781893421,4.3076130701278467e-05,9.12452,41.068519977908124,1.683448174184148e-05,5.8513,20.030956794890358,5.588087216979613e-05,10.3865,53.97476639429121,3.1443413745041886e-05,4.21964,32.43635102130293
1.1636280120252738e-05,2.51402,11.170678035807537,4.483055073975927e-05,9.40995,42.358785418507345,1.801758946091724e-05,6.05585,20.699590139467745,5.596093477502616e-05,11.03034,56.9205014246194,3.1366773108839694e-05,4.31083,33.18107703536419
1.2112673089910643e-05,2.61178,11.60788965326872,4.576216489146461e-05,9.41911,42.399204948793084,1.7450861779593603e-05,5.20358,17.670664941711777,5.7574252519363704e-05,11.510879999999998,58.754427810010455,3.116313461655154e-05,4.30985,33.173049725271795
1.2216170768356617e-05,2.70774,12.02918431222454,4.589606504698541e-05,9.44176,42.49889141880101,1.878131222466986e-05,5.18671,17.60405660645954,5.744456685643946e-05,11.894200000000001,59.99552034613873,3.201556699989892e-05,4.46674,34.46468373996024
1.2627172678538978e-05,2.7530900000000003,12.225602777867774,4.6009602379998854e-05,9.83442,44.1697608035196,2.0146445152566735e-05,5.384390000000001,18.367945649219948,5.9266410515672404e-05,12.6134,61.811887273381934,3.289540133182179e-05,4.7303500000000005,36.663755957056324
1.2475318699143819e-05,2.83786,12.588186767578938,4.4494221088512154e-05,9.95331,44.65494441663887,2.1034380146739725e-05,5.5261499999999995,18.89355600620315,5.7725266705218444e-05,12.56547,61.710872610935326,3.451695715769116e-05,4.99514,38.90728626570959
1.283121080404831e-05,2.87092,12.727991689444403,4.4949891387895604e-05,10.24507,45.806646736418195,2.167297453969948e-05,5.72028,19.583868656528843,5.878952057825638e-05,12.6455,61.877991171137644,3.736150846050907e-05,5.343109999999999,41.90399874232829
1.3106372368324229e-05,3.03592,13.412485791487153,4.517362705580591e-05,10.3546,46.22514804896645,2.3021738486280213e-05,5.93888,20.32155970710923,5.847753514226675e-05,12.793959999999998,62.1677426739568,4.3241158521097895e-05,5.64946,44.58244500351741
1.3836185210953204e-05,3.2125100000000004,14.121000711392256,4.681569079269154e-05,10.94966,48.37398455816801,2.2601726933170914e-05,6.18091,21.091282803150104,6.0782356599531176e-05,13.287600000000001,62.94910589960786,5.0295912041500684e-05,6.06759,48.28712015084655
1.4432536690095577e-05,3.39665,14.833950749240937,4.759122544966714e-05,11.30577,49.56494558945064,2.2853030340954456e-05,6.48201,21.983453103716453,6.37756105844064e-05,13.6558,63.36065136903739,5.681029592068167e-05,6.62659,53.295982153236004
1.4938135264628225e-05,3.62941,15.698399957816985,4.8250543474656304e-05,11.76661,51.008333881995476,2.2878708169441565e-05,6.78262,22.80627737991977,6.484270732614355e-05,14.28756,63.76106129583074,6.192472022900983e-05,7.27104,59.07728704478222
1.599812428736172e-05,3.8707,16.552521655025362,5.067382948508916e-05,12.50001,53.094716637818365,2.4229626378166235e-05,7.157310000000001,23.743844874543377,6.42183070595671e-05,14.68473,63.83744550187852,6.693038116877646e-05,7.89571,64.58425631151778
1.6661392055891145e-05,4.0306500000000005,17.095835178364947,5.2385689735978754e-05,13.164010000000001,54.77874397414407,2.360214549624156e-05,7.63317,24.805771388794394,6.45940675901277e-05,14.80809,63.83656321885085,6.903603993821893e-05,8.190109999999999,67.11149871163595
1.7675868667041435e-05,4.27071,17.878046633363045,5.1465680464778745e-05,13.18089,54.81916747990828,2.4129600467003342e-05,7.93584,25.412497662431967,6.314154929577465e-05,14.02699,63.63993801410727,7.164666862122188e-05,8.73404,71.60573327112652
1.827357622044174e-05,4.52575,18.666717481975876,5.61088016186885e-05,14.21561,57.08594596143105,2.6139128493098572e-05,8.38643,26.225187696025305,6.406140254003314e-05,14.697299999999998,63.837866618505956,7.618589169031581e-05,9.65842,78.50459435846963
1.909997568560204e-05,4.768,19.376819074757123,5.813591036079648e-05,14.831,58.248973250310186,2.8144361037223193e-05,8.849,26.955763613966724,6.620897705173085e-05,15.21,63.76046904797906,8.175885157521124e-05,10.221,82.10782446451765
1.9840284279171024e-05,4.932,19.8366385823517,5.8650442481428596e-05,14.985,58.51979776096129,2.925493374977863e-05,9.285,27.556249105873878,6.570566365946416e-05,15.639,63.56870225752534,8.455782366120038e-05,10.68,84.65584877609368
2.0359238318034397e-05,5.172,20.48004069641068,6.033989733182116e-05,15.306,59.05926695494532,3.0063850362426487e-05,9.703,28.057927329874705,6.512253275770658e-05,15.68,63.545028737870766,8.720183499790236e-05,11.328,87.61214409534726
2.1504842527818192e-05,5.458,21.202474435743227,6.11621116174469e-05,15.258,58.98071911592727,2.7796174469286006e-05,10.09,28.462400445754305,6.395404262390428e-05,15.856,63.43370387679209,8.874749370817454e-05,11.944,89.72007112888015
2.1959926333307344e-05,5.794,21.992187163615668,5.9829365389882236e-05,15.826,59.86376559750442,2.7489730284431093e-05,10.484,28.818891393185393,6.309235011242593e-05,16.096,63.25813205673944,8.91190741288327e-05,12.244,90.50768518904941
2.2700691785462576e-05,6.125,22.710618538341908,5.7811199572718695e-05,13.873,56.38015352337787,2.790834085243695e-05,10.911,29.146400456401736,6.312523655469338e-05,16.133,63.22878426124194,8.977824463319316e-05,12.569,91.19485941077293
2.3407122545062762e-05,6.449109999999999,23.359553421831553,5.804493778688761e-05,13.951600000000001,56.545877850476884,2.861264749084198e-05,11.36455,29.431841189926086,6.327566137990175e-05,16.30864,63.08172221459576,9.20688361047923e-05,12.73393,91.48101469130164
2.461983319921162e-05,6.8065,24.01560088566461,5.7928965448022016e-05,14.03357,56.716278212319956,3.0729415417302124e-05,11.85174,29.672033866283932,6.207515908424532e-05,16.49408,62.91342532255719,9.51010380710091e-05,13.101709999999999,91.97795985380652
