En/CapFrance;GDP/CapFrance;ModelFrance;En/CapItaly;GDP/CapItaly;ModelItaly;En/CapNetherlands;GDP/CapNetherlands;ModelNetherlands;En/CapSpain;GDP/CapSpain;ModelSpain;En/CapUnited States;GDP/CapUnited States;ModelUnited States
4.30E-09;0.4505;39.76688881;1.81E-09;0.3931;21.58809154;5.66E-09;0.5223;52.37453322;2.10E-09;0.3787;23.55840197;;;
4.31E-09;0.4423;39.1428488;1.36E-09;0.3162;17.01613773;5.85E-09;0.5231;52.45489231;2.03E-09;0.3856;23.96115229;;;
4.52E-09;0.4513;39.82776831;1.34E-09;0.2831;15.05489329;5.78E-09;0.5349;53.64040069;1.96E-09;0.369;22.99225747;;;
4.45E-09;0.4538;40.01803155;1.83E-09;0.3805;20.83788228;5.72E-09;0.5078;50.91819656;2.05E-09;0.3783;23.53505793;;;
4.37E-09;0.4613;40.58882004;2.25E-09;0.4498;24.96679409;5.65E-09;0.5035;50.48641878;2.05E-09;0.3806;23.66930632;;;
4.61E-09;0.4691;41.18243471;2.26E-09;0.4814;26.85041189;5.60E-09;0.5131;51.45044636;2.04E-09;0.2876;18.245005;;;
4.82E-09;0.4894;42.72721664;2.38E-09;0.5188;29.07869716;5.59E-09;0.5019;50.32577179;2.04E-09;0.2654;16.95233045;;;
4.86E-09;0.4854;42.42285072;2.51E-09;0.5582;31.42333006;5.58E-09;0.5247;52.61562397;2.03E-09;0.2636;16.84758189;;;
4.90E-09;0.5048;43.89886775;2.73E-09;0.5958;33.65652804;5.64E-09;0.5212;52.26402834;2.03E-09;0.2885;18.29744123;;;
4.94E-09;0.4726;41.44879566;2.75E-09;0.6371;36.10277657;5.79E-09;0.5359;53.74087608;1.97E-09;0.317;19.95853217;;;
5.10E-09;0.518;44.90284909;2.98E-09;0.679;38.57534352;5.88E-09;0.5421;54.36387627;1.91E-09;0.3191;20.0809821;;;
5.31E-09;0.5601;48.10229681;3.21E-09;0.7092;40.35056582;5.80E-09;0.5431;54.46435573;1.88E-09;0.3394;21.26501584;;;
4.99E-09;0.5555;47.7529617;3.29E-09;0.7453;42.46375116;5.93E-09;0.5435;54.50455317;1.89E-09;0.3551;22.18106059;;;
4.05E-09;0.5158;44.7355446;3.34E-09;0.7745;44.16517134;6.08E-09;0.5306;53.20836831;1.91E-09;0.3676;22.91054292;;;
3.82E-09;0.5177;44.88003815;3.68E-09;0.8158;46.55814281;5.84E-09;0.5483;54.98691523;1.95E-09;0.3357;21.04917204;;;
4.08E-09;0.552;47.48710912;3.55E-09;0.8544;48.77890996;5.66E-09;0.563;56.46426209;2.01E-09;0.3473;21.72592122;;;
4.34E-09;0.4748;41.61622306;3.97E-09;0.9011;51.44309776;5.77E-09;0.5544;55.59994837;2.11E-09;0.3513;21.95932128;;;
4.21E-09;0.3819;34.5486531;4.39E-09;0.943;53.81032989;5.87E-09;0.5541;55.56980121;2.18E-09;0.3478;21.75510512;;;
4.28E-09;0.4481;39.58424337;4.81E-09;1.0158;57.86575785;5.97E-09;0.5735;57.51956289;2.18E-09;0.3435;21.50422047;;;
5.21E-09;0.5144;44.62906721;5.23E-09;1.0882;61.81850597;6.10E-09;0.577;57.87133171;2.27E-09;0.3464;21.67341302;;;
4.97E-09;0.4901;42.7804846;5.64E-09;1.1576;65.52422362;6.22E-09;0.5592;56.0823453;2.41E-09;0.379;23.57590727;;;
5.41E-09;0.5754;49.26369588;6.04E-09;1.1934;67.40155913;6.35E-09;0.5628;56.44416078;2.46E-09;0.4105;25.41454777;;;
5.93E-09;0.5984;51.00784774;6.41E-09;1.2111;68.32072957;6.48E-09;0.5852;58.69546666;2.51E-09;0.4066;25.18690922;;;
6.43E-09;0.6661;56.12601116;6.91E-09;1.2659;71.1273394;6.60E-09;0.603;60.48424765;2.59E-09;0.4328;26.7160237;;;
6.57E-09;0.6641;55.97520828;7.44E-09;1.3476;75.19641238;6.87E-09;0.6158;61.77030351;2.80E-09;0.4442;27.38121919;;;
