En/CapSpain,GDP/CapSpain,ModelSpain
4.1761196602240555e-09,0.7881,47.25103864477554
4.468276576302162e-09,0.8215,49.14443552202774
4.6522909946033945e-09,0.8606,51.34900621080469
5.205650695148876e-09,0.9307,55.26585311858389
5.5641376460866485e-09,0.9511,56.39641222232457
6.0547383780313415e-09,0.9894,58.50679581853014
6.46904338795292e-09,1.0796,63.40930040479987
7.0179212409820655e-09,1.1638,67.89146199540951
7.219453151426316e-09,1.2388,71.79955348455402
7.341284874160372e-09,1.2621,72.99646378035825
7.770599553436061e-09,1.3053,75.1931021547176
7.93931218807102e-09,1.3342,76.64582665834152
7.89034665226782e-09,1.3573,77.79707335857945
8.41511434455827e-09,1.3681,78.33224987617137
8.415670857870446e-09,1.4008,79.94050194408058
8.433425682081534e-09,1.3895,79.38682100039277
8.369750327139493e-09,1.4045,80.12130946191262
8.521408898029312e-09,1.4237,81.05573394098808
8.604995464793842e-09,1.4308,81.39962938530043
8.501814426601953e-09,1.469,83.23447652031989
8.657974058060532e-09,1.5237,85.81560786894133
8.952922934743546e-09,1.6268,90.52708412767521
9.31538615230923e-09,1.7272,94.91433134865376
9.76706255272374e-09,1.8359,99.43156913025007
9.74199321480499e-09,1.9215,102.81334344381166
1.0060240718593349e-08,1.9958060000000002,105.62085648044643
1.0530111897693537e-08,2.032917,106.97790337328142
1.0147658218242528e-08,2.0056540000000003,105.983910745757
1.0590000000000001e-08,2.067395,108.2115531350781
1.0969725789830849e-08,2.1522099999999997,111.13445683735351
1.1345804705705483e-08,2.218507,113.30791639565852
1.1942756088422631e-08,2.311362,116.18735905755854
1.2459696532510818e-08,2.428486,119.54551318265888
1.277775745290948e-08,2.554954,122.83071760242782
1.3383675688916109e-08,2.6994860000000003,126.15800734669213
1.3828507950337619e-08,2.815355,128.50334344265616
1.3794509541984728e-08,2.8753319999999998,129.60725803523664
1.4366134848342567e-08,2.937186,130.66858100795685
1.4698196176226103e-08,3.008809,131.8013662647636
1.4586669392762215e-08,3.0885599999999998,132.94380226526872
1.45567439468801e-08,3.1907419999999997,134.22939346599213
1.4618152281582249e-08,3.273543,135.12880666422433
1.4006171612146998e-08,3.2844330000000004,135.2378456388773
1.2805170015455953e-08,3.166969,133.94784063767275
1.3024864588438348e-08,3.17864,134.08738299326768
1.2738865007221137e-08,3.16,133.86330532021603
1.2674909801755094e-08,3.0699,132.68756969258638
1.2031928575994547e-08,3.028,132.0876141874876
1.1840881611013726e-08,3.0819,132.85311836747258
1.2025721631813507e-08,3.1847,134.1588335795951
1.2147718831753656e-08,3.011,131.83441095996673
1.23031063090874e-08,3.090812,132.97427026931834
1.2461051549482791e-08,3.149652,133.73609983379262
